JUDGE,LOT_ID,MC_3BUS_1DEVELOP,MC_3BUS_2FIRE,BUS_DEVELOP_TEMP_TANK2,DIELEC_FIRE_EXHAUST_HEAT5
양품,LOT-101,1호기,1호기,30.753,3283
양품,LOT-101,1호기,1호기,30.8,3971
양품,LOT-101,1호기,1호기,30.694,3324
양품,LOT-101,1호기,1호기,30.691,3306
양품,LOT-101,1호기,1호기,31.032,3900
양품,LOT-101,1호기,1호기,30.823,4243
양품,LOT-101,1호기,1호기,31.336,3775
양품,LOT-101,1호기,1호기,31.336,3775
양품,LOT-101,1호기,1호기,31.376,3338
양품,LOT-101,1호기,1호기,30.7,3336
양품,LOT-101,1호기,1호기,30.788,3801
양품,LOT-101,1호기,1호기,30.8,3952
명점,LOT-101,1호기,1호기,31.6,3206
양품,LOT-101,1호기,1호기,30.798,3864
양품,LOT-101,1호기,1호기,30.913,3355
양품,LOT-101,1호기,1호기,31.098,3824
양품,LOT-101,1호기,1호기,31.1,3293
양품,LOT-101,1호기,1호기,30.726,3896
양품,LOT-101,1호기,1호기,31.2,3244
명점,LOT-101,1호기,1호기,32,3821
양품,LOT-102,1호기,2호기,30.541,3811
명점,LOT-102,1호기,2호기,31.141,3229
양품,LOT-102,1호기,2호기,31.036,3925
양품,LOT-102,1호기,2호기,31.4,3898
양품,LOT-102,1호기,2호기,30.8,3271
양품,LOT-102,1호기,2호기,31.2,3898
양품,LOT-102,1호기,2호기,31,3863
양품,LOT-102,1호기,2호기,31.34,3867
양품,LOT-102,1호기,2호기,31.4,4087
양품,LOT-102,1호기,2호기,30.8,3917
양품,LOT-102,1호기,2호기,30.944,3338
양품,LOT-102,1호기,2호기,31.1,3346
양품,LOT-102,1호기,2호기,30.4,3325
양품,LOT-102,1호기,2호기,31.396,3941
양품,LOT-102,1호기,2호기,30.891,3269
양품,LOT-102,1호기,2호기,31.032,3774
양품,LOT-102,1호기,2호기,31.002,3337
양품,LOT-102,1호기,2호기,30.688,3289
양품,LOT-102,1호기,2호기,30.474,3351
양품,LOT-102,1호기,2호기,31.376,3932
명점,LOT-103,2호기,2호기,31.9,3744
양품,LOT-103,2호기,2호기,30.8,3263
양품,LOT-103,2호기,2호기,30.699,3867
양품,LOT-103,2호기,2호기,30.8,3365
명점,LOT-103,2호기,2호기,30.916,3341
양품,LOT-103,2호기,2호기,31.185,3238
양품,LOT-103,2호기,2호기,30.807,3312
양품,LOT-103,2호기,2호기,31.788,3218
양품,LOT-103,2호기,2호기,30.8,3918
양품,LOT-103,2호기,2호기,31.08,3786
양품,LOT-103,2호기,2호기,31.111,3346
양품,LOT-103,2호기,2호기,30.699,3867
양품,LOT-103,2호기,2호기,31.4,4071
양품,LOT-103,2호기,2호기,30.914,3241
양품,LOT-103,2호기,2호기,30.8,3286
양품,LOT-103,2호기,2호기,31.111,3269
양품,LOT-103,2호기,2호기,31.4,3842
양품,LOT-103,2호기,2호기,30.388,3276
양품,LOT-103,2호기,2호기,31.02,3368
명점,LOT-103,2호기,2호기,31.018,3210
양품,LOT-104,2호기,1호기,30.946,3812
양품,LOT-104,2호기,1호기,30.661,3338
양품,LOT-104,2호기,1호기,30.916,3341
양품,LOT-104,2호기,1호기,30.878,3832
양품,LOT-104,2호기,1호기,30.961,3903
양품,LOT-104,2호기,1호기,30,3545
양품,LOT-104,2호기,1호기,30.8,3368
양품,LOT-104,2호기,1호기,30.8,3818
양품,LOT-104,2호기,1호기,31.4,3283
양품,LOT-104,2호기,1호기,31.1,3322
양품,LOT-104,2호기,1호기,31.044,3446
양품,LOT-104,2호기,1호기,31.3,3343
양품,LOT-104,2호기,1호기,30,3545
양품,LOT-104,2호기,1호기,31.17,3827
양품,LOT-104,2호기,1호기,30.8,3267
양품,LOT-104,2호기,1호기,31,3330
양품,LOT-104,2호기,1호기,31.4,3826
양품,LOT-104,2호기,1호기,31.343,3896
양품,LOT-104,2호기,1호기,31.4,3936
양품,LOT-104,2호기,1호기,31.2,3847
명점,LOT-105,1호기,1호기,31.363,3257
양품,LOT-105,1호기,1호기,31.336,3775
양품,LOT-105,1호기,1호기,31.4,3459
양품,LOT-105,1호기,1호기,30.363,3838
양품,LOT-105,1호기,1호기,30.8,3918
양품,LOT-105,1호기,1호기,30.8,3347
양품,LOT-105,1호기,1호기,31.4,3271
양품,LOT-105,1호기,1호기,31.4,3797
양품,LOT-105,1호기,1호기,30.901,3340
양품,LOT-105,1호기,1호기,30.658,3350
양품,LOT-105,1호기,1호기,31.078,3389
양품,LOT-105,1호기,1호기,31.2,3880
양품,LOT-105,1호기,1호기,30.706,3805
양품,LOT-105,1호기,1호기,30.735,3828
양품,LOT-105,1호기,1호기,30.733,3349
양품,LOT-105,1호기,1호기,30.891,3269
양품,LOT-105,1호기,1호기,30.534,3920
양품,LOT-105,1호기,1호기,31.198,3422
양품,LOT-105,1호기,1호기,31.34,3867
명점,LOT-105,1호기,1호기,30.9,3335
양품,LOT-106,2호기,1호기,31.4,3369
양품,LOT-106,2호기,1호기,30.848,3348
양품,LOT-106,2호기,1호기,31,3826
양품,LOT-106,2호기,1호기,31.4,3842
양품,LOT-106,2호기,1호기,30.527,3326
양품,LOT-106,2호기,1호기,31.064,3822
양품,LOT-106,2호기,1호기,31.4,3427
양품,LOT-106,2호기,1호기,31.182,3361
양품,LOT-106,2호기,1호기,30.813,3942
양품,LOT-106,2호기,1호기,30.732,3343
양품,LOT-106,2호기,1호기,31,3785
양품,LOT-106,2호기,1호기,31.4,3285
양품,LOT-106,2호기,1호기,31.4,3267
양품,LOT-106,2호기,1호기,30.975,3842
양품,LOT-106,2호기,1호기,31.4,3296
양품,LOT-106,2호기,1호기,31.058,3432
양품,LOT-106,2호기,1호기,31.09,3333
양품,LOT-106,2호기,1호기,31.015,3781
양품,LOT-106,2호기,1호기,31.4,3831
양품,LOT-106,2호기,1호기,30.8,3365
양품,LOT-107,2호기,1호기,30.686,3902
명점,LOT-107,2호기,1호기,30.913,3776
양품,LOT-107,2호기,1호기,31.1,3902
양품,LOT-107,2호기,1호기,31.343,3896
양품,LOT-107,2호기,1호기,30.792,3822
양품,LOT-107,2호기,1호기,31.2,3898
양품,LOT-107,2호기,1호기,30.765,3783
양품,LOT-107,2호기,1호기,31.4,3801
양품,LOT-107,2호기,1호기,30.913,3355
양품,LOT-107,2호기,1호기,31,3824
양품,LOT-107,2호기,1호기,31.4,3850
양품,LOT-107,2호기,1호기,30.8,3917
양품,LOT-107,2호기,1호기,31.34,3867
양품,LOT-107,2호기,1호기,30.688,3289
양품,LOT-107,2호기,1호기,31.109,4177
양품,LOT-107,2호기,1호기,31,3303
양품,LOT-107,2호기,1호기,31.299,3342
양품,LOT-107,2호기,1호기,30.806,4288
양품,LOT-107,2호기,1호기,31.046,3277
양품,LOT-107,2호기,1호기,30.8,3919
양품,LOT-108,1호기,1호기,30.8,4438
양품,LOT-108,1호기,1호기,31.4,3936
양품,LOT-108,1호기,1호기,31.4,3343
양품,LOT-108,1호기,1호기,30.833,3329
양품,LOT-108,1호기,1호기,30.752,3924
양품,LOT-108,1호기,1호기,30.685,3898
양품,LOT-108,1호기,1호기,30.76,3341
양품,LOT-108,1호기,1호기,31.4,3898
양품,LOT-108,1호기,1호기,31.4,3320
양품,LOT-108,1호기,1호기,30.7,3673
양품,LOT-108,1호기,1호기,30.8,3917
양품,LOT-108,1호기,1호기,30.76,3341
양품,LOT-108,1호기,1호기,30.721,3908
양품,LOT-108,1호기,1호기,30.84,4006
양품,LOT-108,1호기,1호기,30.8,3910
양품,LOT-108,1호기,1호기,31,3826
양품,LOT-108,1호기,1호기,31.078,3389
양품,LOT-108,1호기,1호기,31,3218
양품,LOT-108,1호기,1호기,30,3545
양품,LOT-108,1호기,1호기,31.4,3272
양품,LOT-109,2호기,1호기,30.8,3276
양품,LOT-109,2호기,1호기,31.099,3529
양품,LOT-109,2호기,1호기,31.4,3324
양품,LOT-109,2호기,1호기,30.707,3336
양품,LOT-109,2호기,1호기,31.4,3316
양품,LOT-109,2호기,1호기,30.694,3364
양품,LOT-109,2호기,1호기,31.002,3337
양품,LOT-109,2호기,1호기,31.4,3896
양품,LOT-109,2호기,1호기,30.946,3812
명점,LOT-109,2호기,1호기,31.274,3248
양품,LOT-109,2호기,1호기,30.862,3655
양품,LOT-109,2호기,1호기,31.2,3905
양품,LOT-109,2호기,1호기,31.4,3896
양품,LOT-109,2호기,1호기,31.058,3348
양품,LOT-109,2호기,1호기,30,3545
양품,LOT-109,2호기,1호기,31,3776
양품,LOT-109,2호기,1호기,31.1,3906
양품,LOT-109,2호기,1호기,30.8,3342
양품,LOT-109,2호기,1호기,30.765,3839
양품,LOT-109,2호기,1호기,31.4,3365
양품,LOT-110,2호기,2호기,31.4,3845
양품,LOT-110,2호기,2호기,30.946,3812
양품,LOT-110,2호기,2호기,31,3218
양품,LOT-110,2호기,2호기,31.17,3962
양품,LOT-110,2호기,2호기,30.8,3342
양품,LOT-110,2호기,2호기,31,3336
명점,LOT-110,2호기,2호기,31.9,3302
명점,LOT-110,2호기,2호기,31.508,3783
양품,LOT-110,2호기,2호기,30.946,3812
양품,LOT-110,2호기,2호기,31.4,3268
양품,LOT-110,2호기,2호기,30.8,3954
양품,LOT-110,2호기,2호기,31,3767
양품,LOT-110,2호기,2호기,30.8,3548
양품,LOT-110,2호기,2호기,31.4,3830
양품,LOT-110,2호기,2호기,31.1,3362
양품,LOT-110,2호기,2호기,31.104,3894
양품,LOT-110,2호기,2호기,30.961,3293
양품,LOT-110,2호기,2호기,31.343,3896
양품,LOT-110,2호기,2호기,31,3785
양품,LOT-110,2호기,2호기,30.995,3272
양품,LOT-111,1호기,1호기,31.4,3345
양품,LOT-111,1호기,1호기,30.75,3278
양품,LOT-111,1호기,1호기,30.706,3805
명점,LOT-111,1호기,1호기,31.6,3817
양품,LOT-111,1호기,1호기,31.117,3673
양품,LOT-111,1호기,1호기,31.006,3915
양품,LOT-111,1호기,1호기,30.919,3798
양품,LOT-111,1호기,1호기,30,3545
양품,LOT-111,1호기,1호기,31.5,3304
양품,LOT-111,1호기,1호기,31.4,3896
명점,LOT-111,1호기,1호기,32.047,3210
양품,LOT-111,1호기,1호기,31.227,3743
양품,LOT-111,1호기,1호기,31.4,3850
양품,LOT-111,1호기,1호기,31,3303
양품,LOT-111,1호기,1호기,30.887,3917
양품,LOT-111,1호기,1호기,30.672,3809
양품,LOT-111,1호기,1호기,30.8,3815
양품,LOT-111,1호기,1호기,30,3545
양품,LOT-111,1호기,1호기,30,3545
양품,LOT-111,1호기,1호기,31.4,3287
양품,LOT-112,2호기,2호기,30.707,3336
양품,LOT-112,2호기,2호기,30.8,3919
양품,LOT-112,2호기,2호기,30.529,3798
양품,LOT-112,2호기,2호기,30,3545
양품,LOT-112,2호기,2호기,30.8,3954
양품,LOT-112,2호기,2호기,30.743,3358
양품,LOT-112,2호기,2호기,31.099,3429
양품,LOT-112,2호기,2호기,30.774,3266
명점,LOT-112,2호기,2호기,31.1,3331
양품,LOT-112,2호기,2호기,30,3545
양품,LOT-112,2호기,2호기,30.686,3931
양품,LOT-112,2호기,2호기,30.961,3903
양품,LOT-112,2호기,2호기,31.4,3285
양품,LOT-112,2호기,2호기,31.4,3338
양품,LOT-112,2호기,2호기,31,3863
양품,LOT-112,2호기,2호기,30.8,3940
양품,LOT-112,2호기,2호기,31.2,3637
양품,LOT-112,2호기,2호기,30.8,3928
양품,LOT-112,2호기,2호기,31.34,3867
양품,LOT-112,2호기,2호기,30.771,3918
양품,LOT-113,1호기,1호기,31.4,3265
양품,LOT-113,1호기,1호기,30.998,3850
양품,LOT-113,1호기,1호기,31.4,3324
양품,LOT-113,1호기,1호기,30.9,3323
양품,LOT-113,1호기,1호기,30.732,3343
양품,LOT-113,1호기,1호기,30.946,3311
양품,LOT-113,1호기,1호기,30.878,3832
양품,LOT-113,1호기,1호기,30.752,3799
양품,LOT-113,1호기,1호기,30.541,3811
양품,LOT-113,1호기,1호기,30.833,3329
양품,LOT-113,1호기,1호기,30.8,3805
양품,LOT-113,1호기,1호기,30.936,3347
양품,LOT-113,1호기,1호기,31.4,3856
양품,LOT-113,1호기,1호기,30.78,3293
양품,LOT-113,1호기,1호기,31.4,3302
양품,LOT-113,1호기,1호기,31.4,3257
양품,LOT-113,1호기,1호기,31.23,3958
양품,LOT-113,1호기,1호기,31.4,3263
양품,LOT-113,1호기,1호기,30.581,3273
양품,LOT-113,1호기,1호기,30.694,3364
양품,LOT-114,2호기,2호기,30.962,3436
양품,LOT-114,2호기,2호기,30.8,3422
양품,LOT-114,2호기,2호기,31.134,3903
양품,LOT-114,2호기,2호기,30.8,3938
양품,LOT-114,2호기,2호기,31.16,3252
양품,LOT-114,2호기,2호기,30,3672
양품,LOT-114,2호기,2호기,31.2,3814
양품,LOT-114,2호기,2호기,30.699,3261
양품,LOT-114,2호기,2호기,30.662,3788
양품,LOT-114,2호기,2호기,30.8,3274
양품,LOT-114,2호기,2호기,31,3767
양품,LOT-114,2호기,2호기,30.995,3272
양품,LOT-114,2호기,2호기,31.078,3389
양품,LOT-114,2호기,2호기,31,3785
양품,LOT-114,2호기,2호기,31.4,3830
양품,LOT-114,2호기,2호기,31.4,3801
양품,LOT-114,2호기,2호기,30.8,3333
양품,LOT-114,2호기,2호기,30.941,3739
양품,LOT-114,2호기,2호기,30.8,3282
명점,LOT-114,2호기,2호기,30.8,3874
양품,LOT-115,2호기,1호기,30.8,3337
양품,LOT-115,2호기,1호기,30.8,3825
양품,LOT-115,2호기,1호기,30.792,3822
양품,LOT-115,2호기,1호기,30.386,3815
양품,LOT-115,2호기,1호기,30.8,3276
양품,LOT-115,2호기,1호기,31.4,3764
양품,LOT-115,2호기,1호기,30.8,3285
양품,LOT-115,2호기,1호기,30.8,3934
양품,LOT-115,2호기,1호기,30.8,3358
양품,LOT-115,2호기,1호기,30,3545
양품,LOT-115,2호기,1호기,31.4,3896
양품,LOT-115,2호기,1호기,30.771,3918
명점,LOT-115,2호기,1호기,31.788,3218
양품,LOT-115,2호기,1호기,30.8,3271
양품,LOT-115,2호기,1호기,31.1,3545
양품,LOT-115,2호기,1호기,31.4,3268
양품,LOT-115,2호기,1호기,30.914,3241
양품,LOT-115,2호기,1호기,30.527,3326
양품,LOT-115,2호기,1호기,31.4,3353
양품,LOT-115,2호기,1호기,31.1,3276
양품,LOT-116,2호기,1호기,31.4,3315
양품,LOT-116,2호기,1호기,30.8,3911
양품,LOT-116,2호기,1호기,31.251,3252
양품,LOT-116,2호기,1호기,30.708,3935
양품,LOT-116,2호기,1호기,30.8,3903
양품,LOT-116,2호기,1호기,31.4,3335
양품,LOT-116,2호기,1호기,31.4,3901
양품,LOT-116,2호기,1호기,31.4,3253
양품,LOT-116,2호기,1호기,30.646,3274
양품,LOT-116,2호기,1호기,31.006,3915
양품,LOT-116,2호기,1호기,30.841,3914
양품,LOT-116,2호기,1호기,31.273,3292
양품,LOT-116,2호기,1호기,30,3545
양품,LOT-116,2호기,1호기,31,4297
양품,LOT-116,2호기,1호기,31.4,3901
양품,LOT-116,2호기,1호기,30.8,3307
양품,LOT-116,2호기,1호기,30.946,3311
양품,LOT-116,2호기,1호기,31.2,3814
양품,LOT-116,2호기,1호기,30.706,3805
양품,LOT-116,2호기,1호기,31.1,3902
양품,LOT-117,2호기,2호기,31.117,3673
양품,LOT-117,2호기,2호기,31.4,3845
양품,LOT-117,2호기,2호기,30.782,3844
양품,LOT-117,2호기,2호기,30.823,4243
양품,LOT-117,2호기,2호기,31.1,3386
양품,LOT-117,2호기,2호기,30,3874
양품,LOT-117,2호기,2호기,30.998,3850
명점,LOT-117,2호기,2호기,31.093,3904
양품,LOT-117,2호기,2호기,30.89,3272
양품,LOT-117,2호기,2호기,31.1,3346
양품,LOT-117,2호기,2호기,30.8,3265
양품,LOT-117,2호기,2호기,31.4,3335
양품,LOT-117,2호기,2호기,30.846,3329
양품,LOT-117,2호기,2호기,30.8,3342
양품,LOT-117,2호기,2호기,31,3807
양품,LOT-117,2호기,2호기,30.591,4414
양품,LOT-117,2호기,2호기,30.946,3296
양품,LOT-117,2호기,2호기,30.919,3798
양품,LOT-117,2호기,2호기,30.733,3349
양품,LOT-117,2호기,2호기,30.76,3341
양품,LOT-118,1호기,1호기,30.667,3908
양품,LOT-118,1호기,1호기,31.4,3826
양품,LOT-118,1호기,1호기,30.8,3965
명점,LOT-118,1호기,1호기,31.7,3849
양품,LOT-118,1호기,1호기,31.002,3337
양품,LOT-118,1호기,1호기,31.4,3365
양품,LOT-118,1호기,1호기,31.4,3928
양품,LOT-118,1호기,1호기,31.4,3764
양품,LOT-118,1호기,1호기,30.8,3360
양품,LOT-118,1호기,1호기,30.84,4006
양품,LOT-118,1호기,1호기,31.4,3790
양품,LOT-118,1호기,1호기,30.457,3831
양품,LOT-118,1호기,1호기,31,3331
양품,LOT-118,1호기,1호기,31.036,3925
양품,LOT-118,1호기,1호기,31,3303
양품,LOT-118,1호기,1호기,31.028,3346
양품,LOT-118,1호기,1호기,30.989,3817
양품,LOT-118,1호기,1호기,31.377,3909
양품,LOT-118,1호기,1호기,30.718,3343
양품,LOT-118,1호기,1호기,30.813,3942
양품,LOT-119,1호기,2호기,30.78,3293
양품,LOT-119,1호기,2호기,31.1,3938
양품,LOT-119,1호기,2호기,30.735,3357
양품,LOT-119,1호기,2호기,30.878,3892
양품,LOT-119,1호기,2호기,30.643,3827
양품,LOT-119,1호기,2호기,30.8,3455
양품,LOT-119,1호기,2호기,30.8,3338
양품,LOT-119,1호기,2호기,30.941,3931
양품,LOT-119,1호기,2호기,30.75,3870
양품,LOT-119,1호기,2호기,31.4,3283
양품,LOT-119,1호기,2호기,30.946,3296
양품,LOT-119,1호기,2호기,30.5,3919
양품,LOT-119,1호기,2호기,30.574,3979
양품,LOT-119,1호기,2호기,30.924,3848
양품,LOT-119,1호기,2호기,31.105,3281
양품,LOT-119,1호기,2호기,31.2,3310
양품,LOT-119,1호기,2호기,30.919,3307
양품,LOT-119,1호기,2호기,31,3331
명점,LOT-119,1호기,2호기,31.9,3770
양품,LOT-119,1호기,2호기,31.4,4052
양품,LOT-120,1호기,2호기,31.1,3386
양품,LOT-120,1호기,2호기,30.8,3276
양품,LOT-120,1호기,2호기,31.4,3257
양품,LOT-120,1호기,2호기,31.109,4177
양품,LOT-120,1호기,2호기,30.941,3931
양품,LOT-120,1호기,2호기,30.924,3848
양품,LOT-120,1호기,2호기,30.8,3367
양품,LOT-120,1호기,2호기,30.8,3276
양품,LOT-120,1호기,2호기,30.75,3278
양품,LOT-120,1호기,2호기,31.2,3807
양품,LOT-120,1호기,2호기,31.2,3926
양품,LOT-120,1호기,2호기,31.4,3898
양품,LOT-120,1호기,2호기,30.474,3351
양품,LOT-120,1호기,2호기,30.8,3367
명점,LOT-120,1호기,2호기,31.2,3231
양품,LOT-120,1호기,2호기,31.4,3272
양품,LOT-120,1호기,2호기,30.742,3301
명점,LOT-120,1호기,2호기,31.151,3801
양품,LOT-120,1호기,2호기,30.8,3351
양품,LOT-120,1호기,2호기,30.8,3286
양품,LOT-121,2호기,1호기,30.8,3818
양품,LOT-121,2호기,1호기,31.4,3287
양품,LOT-121,2호기,1호기,31.4,3314
양품,LOT-121,2호기,1호기,30.726,3896
양품,LOT-121,2호기,1호기,31.4,3315
명점,LOT-121,2호기,1호기,31.9,3895
양품,LOT-121,2호기,1호기,31.4,3894
양품,LOT-121,2호기,1호기,30.8,3861
양품,LOT-121,2호기,1호기,30.694,3324
양품,LOT-121,2호기,1호기,31.036,3925
양품,LOT-121,2호기,1호기,31.4,3324
양품,LOT-121,2호기,1호기,31.4,3330
양품,LOT-121,2호기,1호기,31.376,3932
양품,LOT-121,2호기,1호기,31.3,3343
양품,LOT-121,2호기,1호기,30.494,3821
양품,LOT-121,2호기,1호기,31,3860
양품,LOT-121,2호기,1호기,30.8,3825
양품,LOT-121,2호기,1호기,31.738,3209
