LOT,JUDGE,BLACK_RTD_TEMP_GLASS_START,BLACK_RTD_TEMP_GLASS_END,BLACK_RTD_TEMP_WALL_START,BLACK_RTD_TEMP_WALL_MAX,BLACK_RTD_PRES_START,BLACK_RTD_PRES_END,BLACK_RTD_TEMP_GLASS_OUT,BLACK_RTD_TEMP_HOOD_START,BLACK_RTD_TEMP_HOOD_MAX,AG_RTD_TEMP_GLASS_START,AG_RTD_TEMP_GLASS_END,AG_RTD_TEMP_WALL_START,AG_RTD_TEMP_WALL_MAX,AG_RTD_PRES_START,AG_RTD_PRES_END,AG_RTD_TEMP_GLASS_OUT,AG_RTD_TEMP_HOOD_START,AG_RTD_TEMP_HOOD_MAX,AG_EXPOSURE_TEMP_MASK,BUS_DEVELOP_TEMP_OVEN1,BUS_DEVELOP_TEMP_OVEN2,BUS_DEVELOP_TEMP_OVEN3,BUS_DEVELOP_TEMP_TANK1,BUS_DEVELOP_TEMP_TANK2,BUS_DEVELOP_TEMP_TANK3,BUS_DEVELOP_PRES2,BUS_DEVELOP_PRES3,BUS_FIRE_TEMP_KEEP_CH01,BUS_FIRE_TEMP_KEEP_CH02,BUS_FIRE_TEMP_KEEP_CH03,BUS_FIRE_TEMP_ANEAL_CH01,BUS_FIRE_TEMP_ANEAL_CH02,BUS_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7,PHOS_R_DRY_TEMP_GLASS_START,PHOS_R_DRY_TEMP_GLASS_END,PHOS_R_DRY_TEMP_WALL_START,PHOS_R_DRY_TEMP_WALL_MAX,PHOS_R_DRY_PRES_START,PHOS_R_DRY_PRES_END,PHOS_R_DRY_TEMP_GLASS_OUT,PHOS_R_DRY_TEMP_HOOD_START,PHOS_R_DRY_TEMP_HOOD_MAX,PHOS_G_DRY_TEMP_GLASS_START,PHOS_G_DRY_TEMP_GLASS_END,PHOS_G_DRY_TEMP_WALL_START,PHOS_G_DRY_TEMP_WALL_MAX,PHOS_G_DRY_PRES_START,PHOS_G_DRY_PRES_END,PHOS_G_DRY_TEMP_GLASS_OUT,PHOS_G_DRY_TEMP_HOOD_START,PHOS_G_DRY_TEMP_HOOD_MAX,PHOS_FIRE_TEMP_ANEAL_CH01,PHOS_FIRE_TEMP_ANEAL_CH02,PHOS_FIRE_TEMP_ANEAL_CH03,PHOS_FIRE_TEMP_ANEAL_CH04,PHOS_FIRE_EXHAUST_HEAT1,PHOS_FIRE_EXHAUST_HEAT2,PHOS_FIRE_EXHAUST_HEAT3,PHOS_FIRE_EXHAUST_HEAT4
101,0.1,44.55,105.54,89.08500000000001,114.89000000000001,212.85999999999999,152.02999999999997,58.745000000000005,93.305,95.93999999999998,46.125,138.25,77.80499999999999,101.7,337.975,386.63,44.290000000000006,92.455,92.875,23.58105,60.865649999999995,61.36144999999999,62.216150000000006,23.378049999999998,31.028200000000005,34.268899999999995,2.02925,2.028,568.6,582.75,598.55,573.1,538.5,517.6,571.4,574.1,555.45,534.6,2094.6,2178.4,2693.05,3409.95,3625.35,3144.7,3060.9,47.365,135.82,107.80000000000003,166.68,86.25,72.81,27.645000000000003,120.54,153.66199999999998,47.209999999999994,139.675,109.72000000000003,188.89999999999998,56.31,29.044999999999998,33.28999999999999,82.30499999999999,83.445,443.4,419.9,392.05,371.45,3870.45,4030.8,4479.05,2544.55
102,0.05,44.21,107.68999999999998,88.965,114.785,195.56,176.27500000000003,59.135000000000005,93.385,96.19999999999999,45.519999999999996,138.3,77.905,101.93,355.33500000000004,374.83500000000004,43.34499999999999,92.33500000000001,92.75000000000001,23.538249999999998,60.942899999999995,61.67465000000001,61.528099999999995,23.417949999999998,30.99805,34.22539999999999,2.02915,2.0351499999999993,569.4,583.0,599.25,573.15,540.1,517.85,571.85,573.65,554.35,534.35,2109.1,2170.15,2754.95,3380.7,3633.4,3128.3,3068.35,47.184999999999995,135.78000000000003,107.54,166.53500000000003,86.62499999999999,72.92,27.755000000000003,121.92,154.37600000000003,46.975,139.77,109.94500000000001,188.805,54.919999999999995,29.865000000000002,33.67999999999999,82.4,83.41499999999999,443.55,419.95,392.15,370.9,3924.35,4034.4,4471.55,2537.2
103,0.15,43.87,107.495,88.79,114.89500000000001,200.64499999999995,162.555,59.165000000000006,93.78999999999999,96.54499999999999,45.56,138.255,78.33000000000001,101.695,347.565,380.27,44.26,93.865,94.30499999999999,23.511599999999998,61.209649999999996,61.81849999999999,62.17950000000002,23.421599999999998,31.031799999999997,34.17805,2.02935,2.02925,568.4,581.8,598.1,573.55,541.9,519.2,571.35,573.35,553.25,533.55,2075.2,2187.0,2902.25,3463.6,3491.4,3163.95,3104.3,47.215,135.745,107.85499999999999,166.50499999999997,86.52000000000001,72.38000000000002,27.404999999999994,119.175,152.714,47.33,139.85,109.675,188.85999999999996,55.675,30.35,33.025,82.405,83.39,443.55,420.5,392.25,371.25,3904.5,4037.25,4450.05,2549.55
104,0.0,43.91000000000001,103.66,89.02499999999999,114.69499999999998,204.63500000000002,162.735,58.56,93.50999999999999,96.275,45.545,138.0,78.05000000000001,101.73500000000001,354.3349999999999,367.7099999999999,44.045,93.69000000000003,94.33500000000001,23.489800000000002,60.98355,62.02745,62.4053,23.338649999999994,30.95595,33.9565,2.0273499999999998,2.03965,569.05,582.55,598.25,572.85,541.25,518.4,571.45,573.3,553.65,533.8,2074.7,2167.2,2823.1,3399.35,3591.25,3150.15,3081.2,47.175,135.815,107.91000000000001,166.495,86.05000000000001,72.73500000000001,28.044999999999998,118.725,154.28500000000003,46.97500000000001,139.53500000000003,108.745,187.99999999999997,55.045,29.54,33.275,81.89499999999998,82.94,443.5,420.0,391.9,371.0,3862.3,4057.3,4476.45,2558.3
105,0.1,44.135000000000005,107.50999999999999,89.13499999999999,114.785,197.65000000000003,157.435,58.785000000000004,93.26999999999998,96.085,45.76,138.2,78.07499999999999,101.86500000000001,349.63500000000005,378.56,44.470000000000006,93.09,93.495,23.516999999999996,60.90115000000001,61.549299999999995,62.584300000000006,23.439549999999997,30.986800000000006,34.316700000000004,2.0279,2.0317999999999996,570.65,583.4,599.75,573.4,539.9,517.9,571.6,573.5,553.85,533.7,2085.9,2186.7,2849.55,3420.2,3570.8,3139.8,3109.55,47.339999999999996,135.935,109.01499999999999,166.84000000000003,85.84,72.60999999999999,28.074999999999996,126.835,154.82,47.41,139.925,109.705,188.84,55.94499999999999,29.419999999999998,34.315,82.36499999999998,83.395,443.3,419.65,391.5,370.95,3841.475,4060.575,4458.6,2561.175
106,0.0,44.55500000000001,106.24499999999998,89.21000000000001,115.06500000000001,191.355,168.63999999999996,58.80000000000001,93.95499999999998,96.68499999999997,45.9,138.305,78.16499999999999,102.14,350.92500000000007,378.985,44.17,92.94,93.635,23.500299999999996,60.378550000000004,62.13834999999999,62.493399999999994,23.412200000000002,31.095199999999995,34.180949999999996,2.0286,2.03005,569.05,582.15,598.45,573.5,540.5,518.4,571.9,572.55,554.25,534.5,2063.65,2181.4,2839.15,3472.95,3541.15,3173.5,3070.7,47.504999999999995,135.90000000000003,108.63999999999999,166.83999999999997,86.285,72.94,27.044999999999998,125.795,155.57999999999998,47.08,139.74499999999998,109.375,188.64500000000004,56.239999999999995,29.939999999999998,32.84,82.005,83.08,444.3,420.55,392.35,371.2,3834.6,4050.05,4488.1,2562.8
107,0.0,44.045,106.825,88.95000000000002,114.79,211.70999999999998,155.51500000000004,58.864999999999995,93.39,96.09,45.60000000000001,138.05,77.74499999999999,101.89,345.34000000000003,393.755,44.16000000000001,92.67,93.08500000000001,23.5469,60.57859999999998,61.308749999999996,61.93495,23.378549999999997,31.014349999999997,34.0733,2.0279,2.03895,566.9,581.3,597.35,573.05,540.7,518.4,572.45,574.05,555.4,534.6,2127.65,2157.2,2564.9,3332.6,3792.5,3122.95,3012.35,47.184999999999995,135.805,109.025,167.06,86.355,73.46,27.74,132.505,154.95999999999998,47.05,139.56999999999996,108.44500000000001,187.73000000000002,55.260000000000005,28.910000000000004,33.76999999999999,81.78,82.895,443.25,420.0,391.9,371.1,3738.2,4062.35,4474.35,2572.95
108,0.0,44.09000000000001,107.79499999999999,88.88500000000002,114.81000000000003,189.81,182.065,58.894999999999996,93.32,96.09000000000002,46.27499999999999,138.25,78.195,101.59,354.69500000000005,381.69,43.84499999999999,93.09,93.53,23.517149999999997,60.752300000000005,61.82555000000001,61.8962,23.364650000000005,30.926449999999996,34.05519999999999,2.0267499999999994,2.03155,569.05,582.3,598.5,572.8,540.4,518.7,571.95,572.35,554.0,534.2,2076.55,2200.4,2820.6,3426.125,3613.5,3138.15,3101.1,46.964999999999996,135.855,107.995,167.14499999999998,86.48,73.10999999999999,27.615000000000002,128.35500000000002,154.925,47.074999999999996,139.78,109.71000000000001,188.83,56.86,30.27,33.55,82.0,83.13499999999999,443.65,419.9,392.0,371.05,3919.75,4050.55,4460.3,2548.85
109,0.05,44.309999999999995,108.37499999999997,88.9,114.82000000000001,201.66,172.18,58.80499999999999,93.36999999999999,96.24,45.76,138.05,77.86,101.87999999999998,358.16,389.6,43.68000000000001,93.37,93.9,23.51645,61.02675000000001,62.0751,62.431900000000006,23.35085,31.045349999999996,34.293949999999995,2.02835,2.03215,569.95,583.5,599.65,571.85,539.3,516.5,571.45,573.55,553.95,534.15,2063.05,2163.65,2839.2,3355.625,3579.2,3116.0,3090.3,47.50000000000001,135.89000000000001,108.35999999999999,166.86999999999998,87.49,73.37,27.374999999999993,129.39000000000001,156.02999999999997,47.405,140.005,109.89500000000001,188.955,55.410000000000004,29.29,33.96999999999999,82.16,83.23499999999999,443.7,420.0,392.3,371.2,3821.05,4046.8,4451.1,2555.1
110,0.1,44.489999999999995,106.82000000000001,89.45,115.02499999999998,195.86999999999998,156.88000000000005,58.94499999999999,93.44,96.33,45.93999999999999,138.15,78.35999999999999,102.085,354.21000000000004,387.42999999999995,44.085,92.66,93.19500000000001,23.479450000000003,61.36764999999999,62.38354999999999,63.08980000000001,23.345000000000002,31.12865,33.94515,2.0267000000000004,2.03375,569.5,583.2,599.25,572.75,539.8,517.7,571.6,573.2,554.2,533.95,2088.7,2151.0,2709.35,3391.25,3589.05,3100.5,3035.8,47.17999999999999,135.85500000000002,107.81499999999998,166.81,86.74499999999999,72.635,27.49,141.1,154.43,46.845000000000006,139.57000000000002,109.03,188.15500000000003,54.23,29.8,33.41,82.10000000000001,83.185,443.55,420.4,392.3,371.4,3924.05,4037.45,4451.6,2539.9
