LOT,JUDGE,TAT_1BLACK_1PRINT,TAT_1BLACK_2RTD,TAT_2AG_1PRINT,TAT_2AG_2RTD,TAT_2AG_3EXPOSURE,TAT_3BUS_1DEVELOP,TAT_3BUS_2FIRE,TAT_4DIELEC_FIRE,TAT_5MGO,TAT_6PHOS_1R_1DISPENSER,TAT_6PHOS_1R_2DRY,TAT_6PHOS_2G_1DISPENSER,TAT_6PHOS_2G_2DRY,TAT_6PHOS_3B_1DISPENSER,TAT_6PHOS_4FIRE,TAT_8AGING
101,0.1,86.35,219.0,83.4,71.15,155.8,373.2,6969.75,6542.1,534.5,81.6,389.25,81.6,377.4,84.4,7190.6,9989.5
102,0.05,89.0,214.0,85.3,71.0,167.7,369.0,6939.3,6510.0,544.0,80.3,393.15,80.0,375.0,83.8,7131.75,9961.4
103,0.15,88.9,219.0,85.2,70.05,158.4,368.0,6958.2,6513.6,532.0,79.7,404.25,80.3,389.85,84.1,7230.95,10022.05
104,0.0,87.35,224.5,84.9,69.15,186.1,361.8,7002.75,6506.7,534.5,79.6,377.55,82.6,377.85,85.2,7278.95,9968.45
105,0.1,87.35,222.5,84.8,70.2,155.5,372.0,6944.7,6495.9,534.5,76.5,380.7,75.0,358.35,80.8,7051.5,9961.35
106,0.0,86.7,219.5,83.15,71.4,149.0,372.2,7004.85,6497.55,524.5,80.8,423.9,81.0,385.5,85.5,7127.7,9961.0
107,0.0,87.5,224.0,84.65,70.35,157.3,359.6,6998.55,6648.6,534.5,79.0,400.65,80.5,370.95,84.3,7284.45,10010.1
108,0.0,87.95,216.5,83.45,69.75,148.5,370.6,6946.35,6471.75,534.0,76.9,389.55,76.5,375.9,81.7,7159.95,10009.9
109,0.05,86.25,214.5,83.6,70.1,150.2,370.8,6949.35,6517.35,533.5,81.8,409.8,82.7,370.5,85.1,7246.35,9912.7
110,0.1,85.3,226.0,82.8,70.0,154.5,370.8,6913.05,6541.2,535.0,81.5,409.5,81.4,372.0,85.3,7175.15,10026.3
111,0.1,87.75,221.5,83.9,70.7,151.8,365.4,6908.1,6503.4,532.0,81.0,397.2,80.7,379.2,83.9,7027.2,9944.95
112,0.05,90.25,219.0,85.3,70.35,188.2,366.8,6890.1,6511.35,533.5,84.2,421.95,79.9,383.7,87.1,7019.35,9993.55
113,0.0,86.75,218.5,85.15,70.2,152.1,378.4,7028.25,6483.9,533.5,80.9,388.8,80.6,385.5,85.0,7198.55,10010.05
