JUDGE,BLACK_RTD_TEMP_GLASS_START,BLACK_RTD_TEMP_GLASS_END,BLACK_RTD_TEMP_WALL_START,BLACK_RTD_TEMP_WALL_MAX,BLACK_RTD_PRES_START,BLACK_RTD_PRES_END,BLACK_RTD_TEMP_GLASS_OUT,BLACK_RTD_TEMP_HOOD_START,BLACK_RTD_TEMP_HOOD_MAX,AG_RTD_TEMP_GLASS_START,AG_RTD_TEMP_GLASS_END,AG_RTD_TEMP_WALL_START,AG_RTD_TEMP_WALL_MAX,AG_RTD_PRES_START,AG_RTD_PRES_END,AG_RTD_TEMP_GLASS_OUT,AG_RTD_TEMP_HOOD_START,AG_RTD_TEMP_HOOD_MAX,AG_EXPOSURE_TEMP_MASK,BUS_DEVELOP_TEMP_OVEN1,BUS_DEVELOP_TEMP_OVEN2,BUS_DEVELOP_TEMP_OVEN3,BUS_DEVELOP_TEMP_TANK1,BUS_DEVELOP_TEMP_TANK2,BUS_DEVELOP_TEMP_TANK3,BUS_DEVELOP_PRES2,BUS_DEVELOP_PRES3,BUS_FIRE_TEMP_KEEP_CH01,BUS_FIRE_TEMP_KEEP_CH02,BUS_FIRE_TEMP_KEEP_CH03,BUS_FIRE_TEMP_ANEAL_CH01,BUS_FIRE_TEMP_ANEAL_CH02,BUS_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7,PHOS_R_DRY_TEMP_GLASS_START,PHOS_R_DRY_TEMP_GLASS_END,PHOS_R_DRY_TEMP_WALL_START,PHOS_R_DRY_TEMP_WALL_MAX,PHOS_R_DRY_PRES_START,PHOS_R_DRY_PRES_END,PHOS_R_DRY_TEMP_GLASS_OUT,PHOS_R_DRY_TEMP_HOOD_START,PHOS_R_DRY_TEMP_HOOD_MAX,PHOS_G_DRY_TEMP_GLASS_START,PHOS_G_DRY_TEMP_GLASS_END,PHOS_G_DRY_TEMP_WALL_START,PHOS_G_DRY_TEMP_WALL_MAX,PHOS_G_DRY_PRES_START,PHOS_G_DRY_PRES_END,PHOS_G_DRY_TEMP_GLASS_OUT,PHOS_G_DRY_TEMP_HOOD_START,PHOS_G_DRY_TEMP_HOOD_MAX,PHOS_FIRE_TEMP_ANEAL_CH01,PHOS_FIRE_TEMP_ANEAL_CH02,PHOS_FIRE_TEMP_ANEAL_CH03,PHOS_FIRE_TEMP_ANEAL_CH04,PHOS_FIRE_EXHAUST_HEAT1,PHOS_FIRE_EXHAUST_HEAT2,PHOS_FIRE_EXHAUST_HEAT3,PHOS_FIRE_EXHAUST_HEAT4,TAT_1BLACK_1PRINT,TAT_1BLACK_2RTD,TAT_2AG_1PRINT,TAT_2AG_2RTD,TAT_2AG_3EXPOSURE,TAT_3BUS_1DEVELOP,TAT_3BUS_2FIRE,TAT_4DIELEC_FIRE,TAT_5MGO,TAT_6PHOS_1R_1DISPENSER,TAT_6PHOS_1R_2DRY,TAT_6PHOS_2G_1DISPENSER,TAT_6PHOS_2G_2DRY,TAT_6PHOS_3B_1DISPENSER,TAT_6PHOS_4FIRE,TAT_8AGING
剧前,44.3,102.3,88.8,114.8,229.5,156.5,58.9,93.2,96,46,138,76,102,321,434,41.3,92,93,23.66,60.253,61.796,60.542,23.496,30.753,34.305,2.03,2.052,567,583,599,572,538,519,569,570,552,534,2017,2200,3168,3639,3283,3148,3215,48,136,110.5,167.8,86.6,70.9,28.3,126,157.3,47.2,139.2,111,189.4,55.9,28.2,32.4,82.8,84,443,419,392,372,4115,3973,4432,2506,86,220,83,74,160,416,6900,6447,530,76,333,88,396,86,7140,10074
剧前,44.6,101.6,88.7,114.3,216.9,155.9,59,93.9,96,46,139,77.9,101,398.8,339.8,45.6,93,93,23.34,61.528,60.228,63.139,23.42,30.8,35.3,2.032,2.01,569,584,600,574,541,520,573,575,558,536,2166,2132,2290,3331,3971,3030,2960,47.5,136,111.9,167.2,84.5,71.8,26.7,131,155.7,46.5,138.8,106,186.3,59.8,28.1,32.9,80.3,81.8,445,423,395,374,3642,4097,4499,2573,86,210,84,71,150,372,6693,6600,530,80,438,82,381,84,6956,10075
剧前,45,114.3,90.3,115,217.4,140.6,58.7,94,95.7,45,138,77,102,358,347,43.6,93,94,23.6,61.415,63.796,63.5,23.139,30.694,33.015,2.033,2.061,573,584,600,575,536,519,568,570,553,535,1984,2178,3194,3484,3324,3182,3123,47.3,136,110.6,168.5,85.4,73.6,27.5,131,156.3,46.9,139,108.4,187.9,48.5,30.3,29.4,81.2,82.2,444,421,393,372,4063,3972,4460,2502,78,220,78,69,148,368,6747,6597,530,80,420,92,396,86,6840,10645
剧前,44,115,88.6,115.4,242.5,152.4,58.8,94,97,46.1,138,77.8,101.1,356.4,438.1,45.1,93,93,23.424,61.446,60.8,64.22,23.376,30.691,32.76,2.03,2.062,561,578,594,574,539,519,569,571,551,533,2024,2220,3230,3574,3306,3338,3168,45.8,135.8,107.8,166.5,87.9,74.5,26.5,118,150.34,46.2,140.2,112.6,190.7,55.1,32.1,34.7,83,84,444,420,393,372,4131,4011,4466,2522,86,210,84,69,178,416,7137,6420,530,78,429,78,399,90,6720,10076
剧前,44.8,109.6,89.2,114.5,218.3,151.8,57.3,94,95.5,47,138,77.8,101.4,327.8,398.4,45.7,92,93,23.666,60.26,61.601,60.558,23.358,31.032,33.867,2.032,2.06,562,578,593,572,537,518,575,572,556,533,2163,2128,2330,3269,3900,3037,2949,47.8,136,110.8,168.1,80.9,74.7,27.4,102,158.3,47,139.2,103.2,183.9,55.8,29.8,32.8,80.1,82,443,420,392,372,3632,4073,4482,2584,86,210,84,69,132,380,7527,6453,540,76,363,82,393,84,7110,10074
剧前,43,99.5,86.5,112.7,186.2,149.8,58.3,86.8,90.8,46,137,76,101,329,371,40.6,93,94,23.361,59.857,60,60.599,23.198,30.823,33.533,2.029,2.013,572,583,599,571,542,519,572,577,558,535,2094,2130,2265,3323,4243,3070,2876,47.7,135.8,104.1,165.8,88.6,74.4,26.6,100,153.5,46.1,138.9,107.5,186.5,54.3,29.3,29.1,80.6,81.9,442,419,390,370,3646,4066,4439,2573,78,240,80,69,148,340,6747,6660,540,80,438,76,396,88,6810,9748
剧前,44.2,102.7,89,114.8,210.1,128.6,58.4,93,95.6,45.3,138,77,101,319.4,393.4,46,92,92,23.433,61.3,62.343,64.8,23.5,31.336,34.653,2.032,2.061,565,581,597,574,531,509,574,577,559,537,2169,2344,2294,3316,3775,3117,2969,48,136,110.7,167.8,84.1,71.6,29.3,109,157.2,48.4,141,111.2,190.4,54.6,25.9,36.5,84,85,442,417,390,369,3650,4064,4446,2594,87,200,88,75,150,352,7113,6480,540,82,387,78,324,86,7110,9751
剧前,44.2,102.7,89,114.8,210.1,128.6,58.4,93,95.6,45.3,138,77,101,319.4,393.4,46,92,92,23.433,61.3,62.343,64.8,23.5,31.336,34.653,2.032,2.061,565,581,597,574,531,509,574,577,559,537,2169,2344,2294,3316,3775,3117,2969,47.6,136,111.7,168.2,85.8,73.2,29,117,157.4,48.3,141,112,191.5,58.3,32.1,35.3,84,85,443,418,390,369,4079,3980,4635,2501,87,200,88,75,150,352,7113,6480,540,76,390,78,345,84,7110,9751
剧前,44.4,104.2,89,114.6,213.8,152.9,58.6,93,95.8,45.7,138,77,101.3,337.8,365.3,45.6,92,92,23.707,60.549,61.364,62.482,23.5,31.376,34.9,2.029,2.058,572,583,600,568,534,518,568,574,554,533,2001,2208,3189,3393,3338,3112,3235,47.8,136,110.5,167.6,85.8,71.9,29.2,159,157.2,48.5,141,111.9,191,56,26.7,36.4,84,85,445,422,393,371,4084,4029,4459,2534,86,210,85,75,190,332,7107,6453,540,78,390,78,330,84,7080,10075
剧前,44.4,107.3,88.7,115.4,185.9,156.2,57.5,93,95.7,47.1,138,78.9,101.9,405.6,321.7,44.9,92.1,93,23.469,61.28,60.8,64.033,23.412,30.7,33.795,2.03,2.062,573,584,599,573,543,520,569,575,551,532,2051,2151,3161,3563,3336,3258,3205,47,135.8,104,164.5,84.5,72.6,25.9,109,155.6,47.1,138.9,108.3,188,59.2,30.3,32.8,81.2,82.4,443,418,391,370,3653,4063,4617,2590,88,220,86,69,146,384,6993,6453,530,76,399,78,396,84,7110,10074
