JUDGE,AG_RTD_TEMP_GLASS_OUT,BUS_DEVELOP_TEMP_TANK2,DIELEC_FIRE_EXHAUST_HEAT2,PHOS_R_DRY_TEMP_WALL_MAX,PHOS_R_DRY_TEMP_HOOD_START,PHOS_FIRE_EXHAUST_HEAT3,BUS_DEVELOP_TEMP_TANK1,AG_EXPOSURE_TEMP_MASK,PHOS_FIRE_EXHAUST_HEAT2,TAT_6PHOS_4FIRE,TAT_3BUS_2FIRE,TAT_4DIELEC_FIRE,TAT_8AGING,TAT_1BLACK_1PRINT,TAT_1BLACK_2RTD,TAT_2AG_2RTD,TAT_6PHOS_1R_1DISPENSER
양품,41.3,30.753,2200,167.8,126.0,4432,23.496,23.66,3973.0,7140,6900,6447,10074,86,220,74,76
양품,45.6,30.8,2132,167.2,131.0,4499,23.42,23.34,4097.0,6956,6693,6600,10075,86,210,71,80
양품,43.6,30.694000000000003,2178,168.5,131.0,4460,23.139,23.6,3972.0,6840,6747,6597,10645,78,220,69,80
양품,45.1,30.691,2220,166.5,118.0,4466,23.375999999999998,23.424,4011.0,6720,7137,6420,10076,86,210,69,78
양품,45.7,31.031999999999996,2128,168.1,102.0,4482,23.358,23.666,4073.0,7110,7527,6453,10074,86,210,69,76
양품,40.6,30.823,2130,165.8,100.0,4439,23.198,23.361,4066.0,6810,6747,6660,9748,78,240,69,80
양품,46.0,31.336,2344,167.8,109.0,4446,23.5,23.433000000000003,4064.0,7110,7113,6480,9751,87,200,75,82
양품,46.0,31.336,2344,168.2,117.0,4635,23.5,23.433000000000003,3980.0,7110,7113,6480,9751,87,200,75,76
양품,45.6,31.375999999999998,2208,167.6,159.0,4459,23.5,23.706999999999997,4029.0,7080,7107,6453,10075,86,210,75,78
양품,44.9,30.7,2151,164.5,109.0,4617,23.412,23.469,4063.0,7110,6993,6453,10074,88,220,69,76
양품,39.7,30.788,2133,165.1,117.0,4461,23.5,23.421999999999997,3983.0,7140,6867,6513,9750,86,220,72,80
양품,46.1,30.8,2124,165.6,139.0,4462,23.404,23.646,4086.0,6960,6687,6600,10074,89,210,69,98
명점,44.7,31.6,2162,166.9,107.0,4385,23.1,23.381999999999998,3938.0,6870,6780,6540,10074,80,230,72,80
양품,46.0,30.798000000000002,2149,167.1,159.0,4485,23.5,23.664,4072.0,7140,6840,6513,10076,88,220,69,78
양품,45.1,30.913,2204,167.2,137.0,4451,23.4,23.629,4059.0,8996,7440,6573,10076,86,210,72,80
양품,43.0,31.098000000000003,2152,167.1,93.0,4472,23.4,23.673000000000002,3967.0,8970,7407,6567,9750,86,220,69,78
양품,43.5,31.1,2142,164.4,89.8,4438,23.348000000000003,24.26,4049.0,6840,6990,6720,10074,78,260,72,78
양품,45.1,30.726,2164,167.3,125.0,4539,23.5,23.398000000000003,4088.0,7110,6960,6453,9750,88,220,72,80
양품,43.5,31.2,2144,165.9,109.0,4456,23.2,23.564,3995.0,6840,6780,6633,9749,100,230,69,100
