JUDGE,LOT_ID,PANEL_ID,TIME_1BLACK,TIME_2AG,TIME_3BUS,TIME_4DIELEC,TIME_5MGO,TIME_6PHOS,TIME_7PASTE,TIME_8AGING,MC_1BLACK_1PRINT,MC_1BLACK_2RTD,MC_2AG_1PRINT,MC_2AG_2RTD,MC_2AG_3EXPOSURE,MC_3BUS_1DEVELOP,MC_3BUS_2FIRE,MC_4DIELEC_1FIRE,MC_5MGO,MC_6PHOS_1R_1DISPENSER,MC_6PHOS_1R_2DRY,MC_6PHOS_2G_1DISPENSER,MC_6PHOS_2G_2DRY,MC_6PHOS_3B_1DISPENSER,MC_6PHOS_4FIRE,MC_7PASTE,MC_8AGING
양품,LOT-101,PNL-01,2019-04-01T00:01,2019-04-01T05:21,2019-04-01T11:01,2019-04-06T13:41,2019-04-11T03:41,2019-04-03T20:20,2019-04-11T12:41,2019-04-11T14:21,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-02,2019-04-01T00:45,2019-04-01T06:05,2019-04-01T11:45,2019-04-06T14:25,2019-04-11T04:25,2019-04-03T21:04,2019-04-11T13:25,2019-04-11T15:05,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-03,2019-04-01T01:29,2019-04-01T06:49,2019-04-01T12:29,2019-04-06T15:09,2019-04-11T05:09,2019-04-03T21:48,2019-04-11T14:09,2019-04-11T15:49,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-04,2019-04-01T02:13,2019-04-01T07:33,2019-04-01T13:13,2019-04-06T15:53,2019-04-11T05:53,2019-04-03T22:32,2019-04-11T14:53,2019-04-11T16:33,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-05,2019-04-01T02:58,2019-04-01T08:18,2019-04-01T13:58,2019-04-06T16:38,2019-04-11T06:38,2019-04-03T23:17,2019-04-11T15:38,2019-04-11T17:18,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-06,2019-04-01T03:42,2019-04-01T09:02,2019-04-01T14:42,2019-04-06T17:22,2019-04-11T07:22,2019-04-04T00:01,2019-04-11T16:22,2019-04-11T18:02,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-07,2019-04-01T04:26,2019-04-01T09:46,2019-04-01T15:26,2019-04-06T18:06,2019-04-11T08:06,2019-04-04T00:45,2019-04-11T17:06,2019-04-11T18:46,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-08,2019-04-01T05:10,2019-04-01T10:30,2019-04-01T16:10,2019-04-06T18:50,2019-04-11T08:50,2019-04-04T01:29,2019-04-11T17:50,2019-04-11T19:30,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-09,2019-04-01T05:55,2019-04-01T11:15,2019-04-01T16:55,2019-04-06T19:35,2019-04-11T09:35,2019-04-04T02:14,2019-04-11T18:35,2019-04-11T20:15,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-10,2019-04-01T06:39,2019-04-01T11:59,2019-04-01T17:39,2019-04-06T20:19,2019-04-11T10:19,2019-04-04T02:58,2019-04-11T19:19,2019-04-11T20:59,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-11,2019-04-01T07:23,2019-04-01T12:43,2019-04-01T18:23,2019-04-06T21:03,2019-04-11T11:03,2019-04-04T03:42,2019-04-11T20:03,2019-04-11T21:43,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-12,2019-04-01T08:07,2019-04-01T13:27,2019-04-01T19:07,2019-04-06T21:47,2019-04-11T11:47,2019-04-04T04:26,2019-04-11T20:47,2019-04-11T22:27,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
명점,LOT-101,PNL-13,2019-04-01T08:52,2019-04-01T14:12,2019-04-01T19:52,2019-04-06T22:32,2019-04-11T12:32,2019-04-04T05:11,2019-04-11T21:32,2019-04-11T23:12,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-14,2019-04-01T09:36,2019-04-01T14:56,2019-04-01T20:36,2019-04-06T23:16,2019-04-11T13:16,2019-04-04T05:55,2019-04-11T22:16,2019-04-11T23:56,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-15,2019-04-01T10:20,2019-04-01T15:40,2019-04-01T21:20,2019-04-07T00:00,2019-04-11T14:00,2019-04-04T06:39,2019-04-11T23:00,2019-04-12T00:40,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-16,2019-04-01T11:04,2019-04-01T16:24,2019-04-01T22:04,2019-04-07T00:44,2019-04-11T14:44,2019-04-04T07:23,2019-04-11T23:44,2019-04-12T01:24,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-17,2019-04-01T11:49,2019-04-01T17:09,2019-04-01T22:49,2019-04-07T01:29,2019-04-11T15:29,2019-04-04T08:08,2019-04-12T00:29,2019-04-12T02:09,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-18,2019-04-01T12:33,2019-04-01T17:53,2019-04-01T23:33,2019-04-07T02:13,2019-04-11T16:13,2019-04-04T08:52,2019-04-12T01:13,2019-04-12T02:53,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
양품,LOT-101,PNL-19,2019-04-01T13:17,2019-04-01T18:37,2019-04-02T00:17,2019-04-07T02:57,2019-04-11T16:57,2019-04-04T09:36,2019-04-12T01:57,2019-04-12T03:37,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
명점,LOT-101,PNL-20,2019-04-01T14:01,2019-04-01T19:21,2019-04-02T01:01,2019-04-07T03:41,2019-04-11T17:41,2019-04-04T10:20,2019-04-12T02:41,2019-04-12T04:21,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
