JUDGE,PANEL_ID,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7
양품,PNL-01,569,570,552,534,2017,2200,3168,3639,3283,3148,3215
양품,PNL-02,573,575,558,536,2166,2132,2290,3331,3971,3030,2960
양품,PNL-03,568,570,553,535,1984,2178,3194,3484,3324,3182,3123
양품,PNL-04,569,571,551,533,2024,2220,3230,3574,3306,3338,3168
양품,PNL-05,575,572,556,533,2163,2128,2330,3269,3900,3037,2949
양품,PNL-06,572,577,558,535,2094,2130,2265,3323,4243,3070,2876
양품,PNL-07,574,577,559,537,2169,2344,2294,3316,3775,3117,2969
양품,PNL-08,574,577,559,537,2169,2344,2294,3316,3775,3117,2969
양품,PNL-09,568,574,554,533,2001,2208,3189,3393,3338,3112,3235
양품,PNL-10,569,575,551,532,2051,2151,3161,3563,3336,3258,3205
양품,PNL-11,573,576,558,536,2108,2133,2282,3327,3801,3057,2966
양품,PNL-12,573,573,559,537,2153,2124,2286,3316,3952,3109,2887
명점,PNL-13,574,575,554,534,2017,2162,3147,3431,3206,3169,3167
양품,PNL-14,573,574,558,536,2187,2149,2278,3366,3864,3116,3255
양품,PNL-15,568,574,550,531,2017,2204,3228,3563,3355,3205,3149
양품,PNL-16,572,576,557,535,2112,2152,2319,3251,3824,3065,2952
양품,PNL-17,569,573,551,532,2013,2142,3116,3678,3293,3114,3121
양품,PNL-18,572,574,558,537,2272,2164,2321,3250,3896,3371,2890
양품,PNL-19,569,575,553,534,2026,2144,3198,3498,3244,3115,3188
명점,PNL-20,574,574,560,535,2149,2159,2271,3311,3821,3164,2974
양품,PNL-01,575,574,559,537,2319,2134,2283,3325,3811,3148,2987
명점,PNL-02,571,570,550,536,2021,2187,3255,3474,3229,3171,3163
양품,PNL-03,572,574,553,532,2133,2169,2324,3277,3925,3037,2980
양품,PNL-04,575,578,559,537,2186,2116,2395,3314,3898,3109,2938
양품,PNL-05,574,570,549,530,2000,2200,3205,3488,3271,3150,3236
양품,PNL-06,572,575,556,533,2317,2154,2537,3283,3898,3063,2904
양품,PNL-07,572,574,559,537,2355,2126,2262,3265,3863,3072,2872
양품,PNL-08,572,575,559,536,2158,2135,2284,3358,3867,3033,2959
양품,PNL-09,575,572,559,536,2113,2174,2325,3235,4087,3041,2964
양품,PNL-10,573,573,557,536,2111,2127,2330,3248,3917,3079,3154
양품,PNL-11,568,574,553,535,2017,2260,3141,3418,3338,3203,3169
양품,PNL-12,569,572,546,529,2002,2213,3262,3575,3346,3214,3234
양품,PNL-13,570,573,552,535,2020,2150,3271,3512,3325,3207,3173
양품,PNL-14,574,576,554,534,2129,2194,2322,3284,3941,3020,2963
양품,PNL-15,570,572,553,534,2004,2199,3653,3520,3269,3127,3327
양품,PNL-16,573,576,559,537,2082,2137,2291,3279,3774,3079,2944
양품,PNL-17,566,575,553,535,2034,2200,3285,3507,3337,3199,3153
양품,PNL-18,571,575,550,533,2040,2162,3159,3589,3289,3121,3138
양품,PNL-19,570,570,552,533,2038,2193,3223,3428,3351,3477,3142
양품,PNL-20,575,575,555,532,2103,2173,2292,3235,3932,3016,2967
명점,PNL-01,575,575,560,539,2148,2156,2294,3271,3744,3055,2850
양품,PNL-02,576,570,545,526,2035,2165,3269,3518,3263,3242,3184
양품,PNL-03,576,576,557,535,2129,2166,2335,3249,3867,3016,2906
양품,PNL-04,569,574,552,533,2023,2253,3242,3538,3365,3210,3144
명점,PNL-05,568,574,550,531,2008,2201,3284,3517,3341,3200,3225
양품,PNL-06,569,571,554,535,2012,2186,3142,3491,3238,3301,3109
양품,PNL-07,572,571,547,527,2034,2273,3159,3419,3312,3153,3168
양품,PNL-08,568,575,551,535,1983,2166,3174,3466,3218,3347,3166
양품,PNL-09,574,572,558,536,2258,2161,2336,3260,3918,3035,3356
양품,PNL-10,572,573,560,539,2336,2155,2315,3262,3786,3195,2940
양품,PNL-11,568,571,553,534,2023,2182,3236,4000,3346,3218,3145
양품,PNL-12,576,576,557,535,2129,2166,2335,3249,3867,3016,2906
양품,PNL-13,574,577,557,534,2152,2139,2289,3324,4071,3093,2894
양품,PNL-14,568,570,555,536,2003,2210,3216,3526,3241,3202,3214
양품,PNL-15,569,572,552,535,2026,2191,3238,3544,3286,3141,3227
양품,PNL-16,568,573,548,531,2057,2147,3252,3527,3269,3215,3154
양품,PNL-17,574,577,559,535,2132,2282,2330,3316,3842,3102,2955
양품,PNL-18,570,573,553,533,2001,2160,3169,3801,3276,3179,3207
양품,PNL-19,570,573,548,529,2025,2194,3237,3508,3368,3196,3153
명점,PNL-20,571,574,549,533,1990,2187,3193,3486,3210,3163,3183
양품,PNL-01,572,574,559,538,2142,2142,2261,3297,3812,3019,2917
양품,PNL-02,570,571,553,534,1989,2189,3234,3500,3338,3233,3213
양품,PNL-03,568,574,550,531,2008,2201,3284,3517,3341,3200,3225
양품,PNL-04,573,576,559,537,2212,2126,2302,3357,3832,3019,2962
양품,PNL-05,578,576,554,530,2127,2159,2416,3240,3903,3067,2954
양품,PNL-06,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-07,569,572,553,534,2014,2169,3260,3531,3368,3214,3404
양품,PNL-08,573,574,558,537,2163,2133,2555,3326,3818,3129,2908
양품,PNL-09,569,570,551,535,2025,2211,3221,3448,3283,3287,3141
양품,PNL-10,568,569,546,527,2048,2155,3172,3419,3322,3163,3229
양품,PNL-11,568,572,549,530,2016,2212,3241,3465,3446,3197,3165
양품,PNL-12,570,573,549,529,2019,2160,3150,3531,3343,3151,3181
양품,PNL-13,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-14,572,576,557,535,2123,2162,2314,3332,3827,3390,2956
양품,PNL-15,568,570,550,536,2013,2168,3223,3507,3267,3127,3217
