JUDGE,BLACK_RTD_TEMP_GLASS_START,BLACK_RTD_TEMP_GLASS_END,BLACK_RTD_TEMP_WALL_START,BLACK_RTD_TEMP_WALL_MAX,BLACK_RTD_PRES_START,BLACK_RTD_PRES_END,BLACK_RTD_TEMP_GLASS_OUT,BLACK_RTD_TEMP_HOOD_START,BLACK_RTD_TEMP_HOOD_MAX,AG_RTD_TEMP_GLASS_START,AG_RTD_TEMP_GLASS_END,AG_RTD_TEMP_WALL_START,AG_RTD_TEMP_WALL_MAX,AG_RTD_PRES_START,AG_RTD_PRES_END,AG_RTD_TEMP_GLASS_OUT,AG_RTD_TEMP_HOOD_START,AG_RTD_TEMP_HOOD_MAX,AG_EXPOSURE_TEMP_MASK,BUS_DEVELOP_TEMP_OVEN1,BUS_DEVELOP_TEMP_OVEN2,BUS_DEVELOP_TEMP_OVEN3,BUS_DEVELOP_TEMP_TANK1,BUS_DEVELOP_TEMP_TANK2,BUS_DEVELOP_TEMP_TANK3,BUS_DEVELOP_PRES2,BUS_DEVELOP_PRES3,BUS_FIRE_TEMP_KEEP_CH01,BUS_FIRE_TEMP_KEEP_CH02,BUS_FIRE_TEMP_KEEP_CH03,BUS_FIRE_TEMP_ANEAL_CH01,BUS_FIRE_TEMP_ANEAL_CH02,BUS_FIRE_TEMP_ANEAL_CH03
양품,44.3,102.3,88.8,114.8,229.5,156.5,58.9,93.2,96.0,46.0,138.0,76.0,102.0,321.0,434.0,41.3,92.0,93.0,23.66,60.253,61.796,60.542,23.496,30.753,34.305,2.03,2.052,567.0,583.0,599.0,572.0,538.0,519.0
양품,44.6,101.6,88.7,114.3,216.9,155.9,59.0,93.9,96.0,46.0,139.0,77.9,101.0,398.8,339.8,45.6,93.0,93.0,23.34,61.528,60.228,63.139,23.42,30.8,35.3,2.032,2.01,569.0,584.0,600.0,574.0,541.0,520.0
양품,45.0,114.3,90.3,115.0,217.4,140.6,58.7,94.0,95.7,45.0,138.0,77.0,102.0,358.0,347.0,43.6,93.0,94.0,23.6,61.415,63.796,63.5,23.139,30.694,33.015,2.033,2.061,573.0,584.0,600.0,575.0,536.0,519.0
양품,44.0,115.0,88.6,115.4,242.5,152.4,58.8,94.0,97.0,46.1,138.0,77.8,101.1,356.4,438.1,45.1,93.0,93.0,23.424,61.446,60.8,64.22,23.376,30.691,32.76,2.03,2.062,561.0,578.0,594.0,574.0,539.0,519.0
양품,44.8,109.6,89.2,114.5,218.3,151.8,57.3,94.0,95.5,47.0,138.0,77.8,101.4,327.8,398.4,45.7,92.0,93.0,23.666,60.26,61.601,60.558,23.358,31.032,33.867,2.032,2.06,562.0,578.0,593.0,572.0,537.0,518.0
양품,43.0,99.5,86.5,112.7,186.2,149.8,58.3,86.8,90.8,46.0,137.0,76.0,101.0,329.0,371.0,40.6,93.0,94.0,23.361,59.857,60.0,60.599,23.198,30.823,33.533,2.029,2.013,572.0,583.0,599.0,571.0,542.0,519.0
양품,44.2,102.7,89.0,114.8,210.1,128.6,58.4,93.0,95.6,45.3,138.0,77.0,101.0,319.4,393.4,46.0,92.0,92.0,23.433,61.3,62.343,64.8,23.5,31.336,34.653,2.032,2.061,565.0,581.0,597.0,574.0,531.0,509.0
양품,44.2,102.7,89.0,114.8,210.1,128.6,58.4,93.0,95.6,45.3,138.0,77.0,101.0,319.4,393.4,46.0,92.0,92.0,23.433,61.3,62.343,64.8,23.5,31.336,34.653,2.032,2.061,565.0,581.0,597.0,574.0,531.0,509.0
양품,44.4,104.2,89.0,114.6,213.8,152.9,58.6,93.0,95.8,45.7,138.0,77.0,101.3,337.8,365.3,45.6,92.0,92.0,23.707,60.549,61.364,62.482,23.5,31.376,34.9,2.029,2.058,572.0,583.0,600.0,568.0,534.0,518.0
양품,44.4,107.3,88.7,115.4,185.9,156.2,57.5,93.0,95.7,47.1,138.0,78.9,101.9,405.6,321.7,44.9,92.1,93.0,23.469,61.28,60.8,64.033,23.412,30.7,33.795,2.03,2.062,573.0,584.0,599.0,573.0,543.0,520.0
