JUDGE,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7
양품,569.0,570.0,552.0,534.0,2017.0,2200.0,3168.0,3639.0,3283.0,3148.0,3215.0
양품,573.0,575.0,558.0,536.0,2166.0,2132.0,2290.0,3331.0,3971.0,3030.0,2960.0
양품,568.0,570.0,553.0,535.0,1984.0,2178.0,3194.0,3484.0,3324.0,3182.0,3123.0
양품,569.0,571.0,551.0,533.0,2024.0,2220.0,3230.0,3574.0,3306.0,3338.0,3168.0
양품,575.0,572.0,556.0,533.0,2163.0,2128.0,2330.0,3269.0,3900.0,3037.0,2949.0
양품,572.0,577.0,558.0,535.0,2094.0,2130.0,2265.0,3323.0,4243.0,3070.0,2876.0
양품,574.0,577.0,559.0,537.0,2169.0,2344.0,2294.0,3316.0,3775.0,3117.0,2969.0
양품,574.0,577.0,559.0,537.0,2169.0,2344.0,2294.0,3316.0,3775.0,3117.0,2969.0
양품,568.0,574.0,554.0,533.0,2001.0,2208.0,3189.0,3393.0,3338.0,3112.0,3235.0
양품,569.0,575.0,551.0,532.0,2051.0,2151.0,3161.0,3563.0,3336.0,3258.0,3205.0
양품,573.0,576.0,558.0,536.0,2108.0,2133.0,2282.0,3327.0,3801.0,3057.0,2966.0
양품,573.0,573.0,559.0,537.0,2153.0,2124.0,2286.0,3316.0,3952.0,3109.0,2887.0
명점,574.0,575.0,554.0,534.0,2017.0,2162.0,3147.0,3431.0,3206.0,3169.0,3167.0
양품,573.0,574.0,558.0,536.0,2187.0,2149.0,2278.0,3366.0,3864.0,3116.0,3255.0
양품,568.0,574.0,550.0,531.0,2017.0,2204.0,3228.0,3563.0,3355.0,3205.0,3149.0
양품,572.0,576.0,557.0,535.0,2112.0,2152.0,2319.0,3251.0,3824.0,3065.0,2952.0
양품,569.0,573.0,551.0,532.0,2013.0,2142.0,3116.0,3678.0,3293.0,3114.0,3121.0
양품,572.0,574.0,558.0,537.0,2272.0,2164.0,2321.0,3250.0,3896.0,3371.0,2890.0
양품,569.0,575.0,553.0,534.0,2026.0,2144.0,3198.0,3498.0,3244.0,3115.0,3188.0
명점,574.0,574.0,560.0,535.0,2149.0,2159.0,2271.0,3311.0,3821.0,3164.0,2974.0
양품,575.0,574.0,559.0,537.0,2319.0,2134.0,2283.0,3325.0,3811.0,3148.0,2987.0
