JUDGE,TAT_6PHOS_1R_2DRY,TAT_6PHOS_2G_2DRY,TAT_6PHOS_4FIRE
양품,333.0,396.0,7140.0
양품,438.0,381.0,6956.0
양품,420.0,396.0,6840.0
양품,429.0,399.0,6720.0
양품,363.0,393.0,7110.0
양품,438.0,396.0,6810.0
양품,387.0,324.0,7110.0
양품,390.0,345.0,7110.0
양품,390.0,330.0,7080.0
양품,399.0,396.0,7110.0
양품,366.0,399.0,7140.0
양품,429.0,399.0,6960.0
명점,387.0,306.0,6870.0
양품,393.0,399.0,7140.0
양품,363.0,396.0,8996.0
양품,366.0,396.0,8970.0
양품,348.0,396.0,6840.0
양품,369.0,396.0,7110.0
양품,441.0,396.0,6840.0
명점,336.0,309.0,6960.0
양품,384.0,396.0,7115.0
명점,459.0,396.0,6930.0
양품,477.0,396.0,6875.0
양품,390.0,306.0,7200.0
양품,339.0,378.0,7110.0
양품,582.0,399.0,6930.0
양품,423.0,396.0,6815.0
양품,342.0,348.0,6810.0
양품,423.0,396.0,7260.0
양품,345.0,396.0,7080.0
양품,321.0,396.0,6840.0
양품,414.0,381.0,6810.0
양품,423.0,369.0,7165.0
양품,303.0,306.0,7265.0
양품,423.0,399.0,7290.0
양품,309.0,381.0,6900.0
양품,351.0,366.0,8970.0
양품,333.0,396.0,7140.0
양품,423.0,387.0,6990.0
양품,399.0,312.0,7140.0
명점,384.0,399.0,7290.0
양품,378.0,381.0,7084.0
양품,348.0,396.0,7140.0
양품,417.0,396.0,6985.0
명점,366.0,396.0,8970.0
양품,510.0,396.0,7080.0
양품,372.0,396.0,7140.0
양품,438.0,396.0,8970.0
양품,597.0,369.0,6985.0
양품,393.0,396.0,6780.0
양품,324.0,396.0,6840.0
양품,339.0,396.0,7140.0
양품,393.0,399.0,7225.0
양품,309.0,396.0,6845.0
양품,405.0,396.0,7015.0
양품,402.0,396.0,6874.0
양품,372.0,306.0,7016.0
양품,402.0,396.0,7260.0
양품,393.0,396.0,7110.0
명점,543.0,399.0,6870.0
양품,429.0,369.0,6840.0
양품,384.0,396.0,7115.0
양품,351.0,396.0,8970.0
양품,315.0,396.0,6836.0
양품,393.0,345.0,7140.0
양품,447.0,399.0,7016.0
양품,342.0,396.0,6960.0
양품,411.0,396.0,6960.0
양품,372.0,399.0,7170.0
양품,306.0,309.0,6750.0
양품,348.0,399.0,8945.0
양품,393.0,390.0,7084.0
양품,393.0,393.0,6934.0
양품,348.0,399.0,8945.0
양품,402.0,396.0,7140.0
양품,369.0,396.0,6840.0
양품,390.0,309.0,7020.0
양품,393.0,390.0,7084.0
양품,393.0,306.0,7020.0
양품,372.0,378.0,6810.0
명점,300.0,309.0,6990.0
양품,387.0,324.0,7110.0
양품,375.0,306.0,6995.0
양품,327.0,312.0,6750.0
양품,417.0,342.0,7140.0
양품,393.0,396.0,6930.0
양품,375.0,309.0,7170.0
양품,390.0,306.0,7200.0
양품,390.0,381.0,7110.0
양품,432.0,396.0,7114.0
양품,369.0,393.0,7110.0
양품,372.0,378.0,6810.0
양품,336.0,399.0,7140.0
양품,480.0,396.0,7140.0
양품,393.0,396.0,7140.0
양품,429.0,384.0,7285.0
양품,351.0,396.0,7140.0
양품,396.0,315.0,7200.0
양품,315.0,396.0,6836.0
명점,387.0,333.0,6720.0
양품,396.0,312.0,8940.0
양품,348.0,396.0,6810.0
양품,402.0,396.0,6840.0
양품,390.0,396.0,7144.0
양품,342.0,375.0,7114.0
양품,579.0,396.0,7050.0
양품,390.0,312.0,7110.0
양품,453.0,396.0,7020.0
양품,597.0,396.0,7165.0
양품,381.0,396.0,7140.0
양품,420.0,396.0,6865.0
양품,600.0,396.0,6785.0
양품,429.0,396.0,7290.0
양품,390.0,396.0,7110.0
양품,414.0,399.0,7286.0
양품,369.0,399.0,7110.0
양품,390.0,399.0,7195.0
양품,390.0,366.0,6840.0
양품,396.0,393.0,6810.0
양품,402.0,399.0,6930.0
양품,441.0,372.0,6836.0
명점,444.0,345.0,6865.0
양품,543.0,399.0,8970.0
양품,393.0,390.0,7084.0
양품,363.0,393.0,7110.0
양품,360.0,399.0,8970.0
양품,423.0,333.0,6844.0
양품,405.0,399.0,7260.0
양품,345.0,396.0,8970.0
양품,441.0,396.0,6986.0
양품,465.0,330.0,6990.0
