JUDGE,PHOS_R_DRY_TEMP_GLASS_START,PHOS_R_DRY_TEMP_GLASS_END,PHOS_R_DRY_TEMP_WALL_START,PHOS_R_DRY_TEMP_WALL_MAX,PHOS_R_DRY_PRES_START,PHOS_R_DRY_PRES_END,PHOS_R_DRY_TEMP_GLASS_OUT,PHOS_R_DRY_TEMP_HOOD_START,PHOS_R_DRY_TEMP_HOOD_MAX,PHOS_G_DRY_TEMP_GLASS_START,PHOS_G_DRY_TEMP_GLASS_END,PHOS_G_DRY_TEMP_WALL_START,PHOS_G_DRY_TEMP_WALL_MAX,PHOS_G_DRY_PRES_START,PHOS_G_DRY_PRES_END,PHOS_G_DRY_TEMP_GLASS_OUT,PHOS_G_DRY_TEMP_HOOD_START,PHOS_G_DRY_TEMP_HOOD_MAX,PHOS_FIRE_TEMP_ANEAL_CH01,PHOS_FIRE_TEMP_ANEAL_CH02,PHOS_FIRE_TEMP_ANEAL_CH03,PHOS_FIRE_TEMP_ANEAL_CH04,PHOS_FIRE_EXHAUST_HEAT1,PHOS_FIRE_EXHAUST_HEAT2,PHOS_FIRE_EXHAUST_HEAT3,PHOS_FIRE_EXHAUST_HEAT4
양품,48.0,136.0,110.5,167.8,86.6,70.9,28.3,126.0,157.3,47.2,139.2,111.0,189.4,55.9,28.2,32.4,82.8,84.0,443.0,419.0,392.0,372.0,4115.0,3973.0,4432.0,2506.0
양품,47.5,136.0,111.9,167.2,84.5,71.8,26.7,131.0,155.7,46.5,138.8,106.0,186.3,59.8,28.1,32.9,80.3,81.8,445.0,423.0,395.0,374.0,3642.0,4097.0,4499.0,2573.0
양품,47.3,136.0,110.6,168.5,85.4,73.6,27.5,131.0,156.3,46.9,139.0,108.4,187.9,48.5,30.3,29.4,81.2,82.2,444.0,421.0,393.0,372.0,4063.0,3972.0,4460.0,2502.0
양품,45.8,135.8,107.8,166.5,87.9,74.5,26.5,118.0,150.34,46.2,140.2,112.6,190.7,55.1,32.1,34.7,83.0,84.0,444.0,420.0,393.0,372.0,4131.0,4011.0,4466.0,2522.0
양품,47.8,136.0,110.8,168.1,80.9,74.7,27.4,102.0,158.3,47.0,139.2,103.2,183.9,55.8,29.8,32.8,80.1,82.0,443.0,420.0,392.0,372.0,3632.0,4073.0,4482.0,2584.0
양품,47.7,135.8,104.1,165.8,88.6,74.4,26.6,100.0,153.5,46.1,138.9,107.5,186.5,54.3,29.3,29.1,80.6,81.9,442.0,419.0,390.0,370.0,3646.0,4066.0,4439.0,2573.0
양품,48.0,136.0,110.7,167.8,84.1,71.6,29.3,109.0,157.2,48.4,141.0,111.2,190.4,54.6,25.9,36.5,84.0,85.0,442.0,417.0,390.0,369.0,3650.0,4064.0,4446.0,2594.0
양품,47.6,136.0,111.7,168.2,85.8,73.2,29.0,117.0,157.4,48.3,141.0,112.0,191.5,58.3,32.1,35.3,84.0,85.0,443.0,418.0,390.0,369.0,4079.0,3980.0,4635.0,2501.0
양품,47.8,136.0,110.5,167.6,85.8,71.9,29.2,159.0,157.2,48.5,141.0,111.9,191.0,56.0,26.7,36.4,84.0,85.0,445.0,422.0,393.0,371.0,4084.0,4029.0,4459.0,2534.0
양품,47.0,135.8,104.0,164.5,84.5,72.6,25.9,109.0,155.6,47.1,138.9,108.3,188.0,59.2,30.3,32.8,81.2,82.4,443.0,418.0,391.0,370.0,3653.0,4063.0,4617.0,2590.0
양품,47.2,135.6,104.2,165.1,85.2,73.5,28.1,117.0,154.0,47.5,139.3,110.6,189.2,57.1,27.9,32.2,82.7,83.8,445.0,419.0,392.0,372.0,4118.0,3983.0,4461.0,2514.0
양품,46.4,135.0,105.9,165.6,85.0,72.7,27.0,139.0,154.0,46.7,140.0,108.9,188.6,54.9,35.1,31.8,81.3,82.0,445.0,423.0,394.0,374.0,3667.0,4086.0,4462.0,2599.0
명점,47.9,135.8,106.4,166.9,88.3,72.0,26.9,107.0,150.7,48.0,141.7,115.5,193.5,57.9,31.5,37.1,85.0,86.0,444.0,421.0,393.0,372.0,4026.0,3938.0,4385.0,2463.0
양품,47.8,135.9,110.4,167.1,88.2,72.3,27.8,159.0,155.1,47.3,139.4,110.7,189.7,55.6,27.5,32.9,82.7,83.9,443.0,421.0,392.0,372.0,3644.0,4072.0,4485.0,2581.0
양품,47.0,136.0,109.0,167.2,87.8,72.6,27.0,137.0,154.2,46.8,139.2,110.4,189.0,60.9,27.8,32.8,82.8,83.8,443.0,420.0,392.0,371.0,3670.0,4059.0,4451.0,2585.0
양품,47.1,136.0,109.0,167.1,87.9,73.0,27.3,93.0,154.0,46.8,139.2,110.4,189.1,59.5,29.8,32.8,82.8,83.8,442.0,420.0,393.0,372.0,4120.0,3967.0,4472.0,2513.0
양품,46.7,135.5,98.6,164.4,86.9,74.2,29.2,89.8,149.5,48.6,140.4,110.1,190.1,60.0,29.3,32.9,83.3,84.2,443.0,421.0,393.0,372.0,3644.0,4049.0,4438.0,2584.0
양품,48.0,136.0,110.0,167.3,84.4,73.7,28.3,125.0,145.1,47.3,139.4,110.6,189.4,52.0,27.3,32.4,82.6,83.8,443.0,419.0,391.0,371.0,3656.0,4088.0,4539.0,2590.0
양품,47.2,135.4,103.9,165.9,90.6,72.7,26.2,109.0,152.7,47.2,138.9,106.3,186.5,56.0,25.8,31.8,80.4,81.8,444.0,419.0,391.0,371.0,4062.0,3995.0,4456.0,2479.0
명점,47.5,135.8,106.0,165.0,86.6,70.3,28.7,133.0,145.1,45.8,138.8,108.8,187.3,54.8,26.1,36.8,81.3,82.5,442.0,418.0,391.0,371.0,4107.0,4051.0,4497.0,2504.0
양품,48.0,136.0,107.3,166.9,86.9,75.0,27.7,105.0,156.8,47.7,140.0,109.5,189.2,53.9,34.7,31.7,82.0,83.0,443.0,420.0,391.0,371.0,4091.0,4000.0,4717.0,2512.0
명점,46.2,135.0,101.0,161.7,84.5,68.1,26.0,94.0,149.5,42.2,136.7,95.2,176.6,55.7,30.8,29.4,81.0,82.0,443.0,418.0,391.0,370.0,4030.0,3926.0,4420.0,2460.0
양품,47.0,136.0,107.9,166.7,88.9,74.5,25.6,155.2,155.8,47.5,139.8,112.2,190.6,58.0,28.8,32.8,83.5,84.4,443.0,420.0,392.0,372.0,4119.0,4002.0,4468.0,2504.0
양품,47.0,136.0,110.2,166.3,86.5,72.5,28.0,118.0,155.4,48.0,140.5,111.2,190.1,55.1,28.8,37.7,82.8,84.0,443.0,420.0,392.0,370.0,3642.0,4247.0,4490.0,2580.0
양품,47.3,136.0,110.9,168.0,84.8,70.0,27.8,111.0,156.0,47.2,139.2,110.4,189.1,53.1,32.3,33.2,82.8,84.0,443.0,419.0,392.0,372.0,3662.0,4096.0,4449.0,2602.0
양품,47.6,135.0,104.2,166.4,85.9,72.2,24.5,109.0,157.8,47.4,139.5,108.0,187.9,50.8,33.5,33.3,81.8,82.6,444.0,421.0,393.0,372.0,4093.0,4049.0,4470.0,2507.0
양품,47.8,136.0,107.0,167.4,86.3,72.3,26.5,133.0,156.7,46.9,140.5,110.5,189.7,55.7,28.5,32.0,82.2,83.2,443.0,421.0,393.0,370.0,4097.0,3969.0,4426.0,2506.0
양품,48.0,136.0,111.4,167.2,87.7,75.1,29.0,142.0,150.2,47.5,140.4,111.8,189.5,52.5,24.9,35.4,82.4,83.4,443.0,421.0,393.0,371.0,4077.0,3969.0,4452.0,2483.0
양품,48.3,136.0,107.0,166.7,89.5,68.8,27.3,100.0,157.0,47.5,139.8,108.2,188.1,56.1,28.9,32.7,81.9,82.9,443.0,420.0,392.0,371.0,3623.0,4109.0,4456.0,2577.0
양품,44.6,134.8,100.3,164.6,87.0,75.6,28.9,103.0,150.9,47.0,139.3,110.6,189.3,56.8,31.0,32.7,82.8,83.8,443.0,419.0,392.0,371.0,3653.0,4075.0,4474.0,2589.0
양품,48.0,136.0,110.4,168.5,87.4,73.5,30.5,111.0,150.34,47.7,140.0,111.4,190.1,53.5,28.0,30.8,82.9,83.9,444.0,421.0,393.0,371.0,3629.0,4035.0,4434.0,2590.0
양품,47.4,135.8,109.1,167.6,85.5,70.7,26.5,155.2,155.8,43.9,139.2,109.4,188.2,54.9,31.1,34.4,83.0,84.2,446.0,421.0,393.0,371.0,4128.0,4026.0,4481.0,2521.0
양품,47.6,136.0,109.8,167.7,85.1,74.8,26.8,156.0,156.7,46.7,139.4,110.8,188.8,50.7,34.2,34.3,81.7,82.7,444.0,421.0,393.0,372.0,4109.0,4002.0,4483.0,2504.0
양품,44.8,135.2,98.4,163.9,87.3,73.4,29.7,124.0,153.5,45.8,139.0,108.5,186.8,56.8,29.8,36.1,80.3,81.3,446.0,423.0,395.0,373.0,4082.0,4021.0,4464.0,2510.0
양품,47.8,136.0,106.4,165.3,86.5,73.7,26.6,113.0,155.8,47.6,140.0,108.7,188.4,55.7,31.2,32.8,81.9,82.8,445.0,421.0,394.0,373.0,3812.0,4076.0,4459.0,2588.0
양품,47.8,136.0,107.0,166.2,87.6,75.8,30.9,91.0,150.34,49.0,141.0,113.4,191.5,57.4,24.6,35.3,84.2,85.2,442.0,419.0,390.0,368.0,3632.0,4043.0,4410.0,2572.0
양품,47.2,136.0,110.2,167.8,85.8,78.1,28.0,113.0,157.0,48.0,140.7,113.6,192.1,55.0,30.0,34.8,83.0,84.2,443.0,418.0,392.0,371.0,4121.0,3984.0,4454.0,2509.0
양품,46.8,136.0,111.4,166.5,85.3,70.2,28.6,159.0,154.8,47.8,140.8,113.9,190.9,52.3,23.7,33.8,83.4,84.2,441.0,416.0,388.0,367.0,4134.0,3999.0,4503.0,2527.0
양품,47.3,135.8,110.7,167.9,84.5,72.4,27.3,156.0,156.8,46.1,138.9,109.7,188.1,58.8,28.6,32.9,80.6,82.0,445.0,421.0,393.0,371.0,3657.0,4065.0,4461.0,2594.0
양품,47.2,136.0,110.2,167.4,89.5,71.7,28.9,90.0,150.34,48.0,140.7,111.9,191.1,55.6,33.9,37.5,83.8,84.5,444.0,419.0,391.0,371.0,4096.0,3995.0,4460.0,2509.0
명점,47.7,136.0,107.4,166.4,86.9,72.5,27.9,142.0,147.7,47.7,139.7,110.1,188.7,50.7,30.2,30.8,81.8,83.3,443.0,421.0,393.0,371.0,3611.0,4049.0,4404.0,2577.0
양품,47.5,136.0,110.4,167.5,84.7,75.0,26.9,156.0,150.34,47.8,140.5,111.7,190.8,51.8,32.7,33.3,84.0,84.8,443.0,421.0,392.0,371.0,3661.0,4089.0,4461.0,2590.0
양품,47.0,135.8,110.5,166.4,85.3,70.0,28.4,98.0,155.0,47.8,141.3,111.0,189.9,54.8,24.8,32.8,83.4,84.2,440.0,416.0,389.0,369.0,4363.0,4016.0,4448.0,2679.0
양품,47.8,136.0,109.5,166.9,87.3,70.4,26.9,125.0,157.5,47.1,139.6,110.7,189.1,55.9,29.8,33.5,81.8,82.8,442.0,421.0,392.0,371.0,4124.0,4031.0,4458.0,2520.0
명점,47.1,136.0,109.0,167.1,87.9,73.0,27.3,139.0,154.0,46.8,139.2,110.4,189.1,59.5,29.8,32.8,82.8,83.8,442.0,420.0,393.0,372.0,4120.0,3967.0,4472.0,2513.0
양품,47.3,135.4,102.3,164.7,86.4,73.2,25.5,89.7,148.5,47.2,139.5,106.9,187.2,56.5,22.1,32.3,81.5,82.5,443.0,419.0,391.0,371.0,3634.0,4035.0,4438.0,2584.0
양품,47.0,136.0,109.2,167.2,87.9,73.4,27.2,139.0,153.8,46.7,139.2,110.6,189.3,57.8,29.4,32.7,82.9,83.9,443.0,421.0,391.0,372.0,3656.0,4068.0,4490.0,2581.0
양품,46.4,135.4,107.3,166.6,84.7,68.6,27.1,91.8,149.5,47.3,140.0,113.4,190.7,57.3,34.7,31.6,82.6,83.6,443.0,421.0,391.0,371.0,4028.0,3955.0,4391.0,2490.0
양품,48.0,136.0,110.1,167.0,86.7,71.2,26.6,98.0,157.6,46.6,138.7,106.3,185.5,58.0,30.0,34.6,80.8,81.8,443.0,420.0,391.0,369.0,4122.0,3986.0,4457.0,2516.0
양품,48.1,136.0,111.3,169.1,86.1,72.9,28.1,129.0,145.1,48.3,140.8,111.6,191.0,52.7,27.7,32.4,84.0,84.8,444.0,421.0,393.0,371.0,4070.0,3984.0,4448.0,2495.0
양품,47.3,135.8,108.8,168.5,86.2,69.7,30.5,117.0,157.6,47.8,140.0,109.9,189.2,53.9,30.5,33.3,82.8,83.8,445.0,421.0,393.0,372.0,3623.0,4083.0,4453.0,2584.0
양품,47.5,136.2,111.2,166.9,86.8,69.9,28.5,135.0,155.7,48.5,140.5,107.7,188.2,57.2,33.2,32.5,82.3,83.6,442.0,418.0,390.0,369.0,3636.0,4097.0,4456.0,2581.0
양품,47.6,136.0,110.6,166.9,86.7,74.3,28.7,98.0,149.5,47.6,139.9,108.8,188.2,54.9,32.0,32.3,81.6,82.6,443.0,421.0,392.0,371.0,4164.0,3961.0,4426.0,2507.0
양품,47.5,135.7,107.6,168.1,86.4,75.2,28.4,118.0,145.1,48.0,140.0,110.3,189.7,56.5,29.3,32.6,82.9,83.9,445.0,422.0,394.0,372.0,4067.0,3966.0,4418.0,2509.0
양품,46.2,135.0,103.6,164.6,84.7,71.5,26.9,121.0,154.0,46.6,139.9,109.0,188.5,55.1,34.2,31.2,81.2,82.0,445.0,423.0,394.0,373.0,4116.0,4023.0,4479.0,2509.0
양품,46.7,135.0,101.7,164.7,86.9,71.4,26.0,100.0,155.3,46.5,139.3,108.5,187.2,55.4,30.2,32.2,81.1,82.0,445.0,420.0,393.0,372.0,3654.0,4094.0,4476.0,2593.0
양품,46.8,136.0,109.9,165.6,86.3,72.4,28.4,105.0,155.0,48.0,140.7,110.6,189.7,55.3,32.1,37.0,83.0,84.0,447.0,423.0,396.0,373.0,3633.0,4083.0,4452.0,2582.0
양품,47.9,136.0,107.6,166.8,85.0,72.6,26.9,100.0,156.0,47.3,139.1,107.7,187.9,57.8,29.0,33.4,81.8,82.6,444.0,421.0,393.0,373.0,3660.0,4074.0,4465.0,2583.0
양품,47.2,136.0,111.5,167.9,86.8,75.2,28.8,134.0,156.7,48.4,140.5,111.9,191.1,55.2,32.2,36.8,84.0,84.8,445.0,420.0,392.0,371.0,4113.0,4003.0,4483.0,2529.0
명점,45.7,134.6,97.6,161.2,90.7,75.2,23.1,148.0,150.34,44.6,138.6,106.4,186.2,57.2,33.1,32.4,81.8,83.0,444.0,420.0,392.0,371.0,4035.0,4181.0,4426.0,2469.0
양품,48.0,136.0,110.6,168.5,85.9,70.4,26.9,95.0,157.0,45.7,138.2,103.4,182.7,52.0,23.4,36.3,79.0,80.0,443.0,419.0,392.0,372.0,4094.0,3955.0,4441.0,2509.0
양품,48.0,136.0,107.3,166.9,86.9,75.0,27.7,96.0,156.8,47.7,140.0,109.5,189.2,53.9,34.7,31.7,82.0,83.0,443.0,420.0,391.0,371.0,4091.0,4000.0,4717.0,2512.0
